project_ID,longitude,latitude,total_c_to_2011,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
872261199796,33.0799839,-13.762298,11672510,14,5.0,647.762023926,1.0
872261209978,33.0799839,-13.762298,100000,4,5.0,647.762023926,1.0
872261239860,33.0799839,-13.762298,12912097.67,17,5.0,647.762023926,1.0
872261239861,33.0799839,-13.762298,2170170.29,13,5.0,647.762023926,1.0
872261239877,33.0799839,-13.762298,2638695.43,19,5.0,647.762023926,1.0
8722612610582,33.0799839,-13.762298,349387,1,5.0,647.762023926,1.0
8722612610681,33.0799839,-13.762298,157930,7,5.0,647.762023926,1.0
872261199796,33.079984,-13.762298,11672510,14,5.0,647.762023926,1.0
872261309778,33.079984,-13.762298,1822943.05,19,5.0,647.762023926,1.0
8722611610413,33.079984,-13.762298,335001,5,5.0,647.762023926,1.0
8722612610649,33.079984,-13.762298,500000,5,5.0,647.762023926,1.0
8722612610689,33.309486,-12.839041,745520.92,7,0.0,647.762023926,1.0
872261199934,33.4166667,-13.0,3000000,5,5.0,647.762023926,1.0
872261239860,33.4166667,-13.0,12912097.67,17,5.0,647.762023926,1.0
872261239877,33.4166667,-13.0,2638695.43,19,5.0,647.762023926,1.0
872261249889,33.4166667,-13.0,230070,6,5.0,647.762023926,1.0
872261249898,33.4166667,-13.0,322000,6,5.0,647.762023926,1.0
8722611610408,33.4166667,-13.0,5510275,3,5.0,647.762023926,1.0
8722612410565,33.4166667,-13.0,7000000,11,5.0,647.762023926,1.0
8722612610670,33.4166667,-13.0,678936.66,5,5.0,647.762023926,1.0
8722612610681,33.4166667,-13.0,157930,7,5.0,647.762023926,1.0
8722612610778,33.4166667,-13.0,2444663.14,4,5.0,647.762023926,1.0
8722615410516,33.4166667,-13.0,890106.32,15,5.0,647.762023926,1.0
8722615410516,33.4166667,-13.0,890106.32,15,5.0,647.762023926,1.0
8722615410519,33.4166667,-13.0,4858277.12,2,5.0,647.762023926,1.0
8722615410525,33.4166667,-13.0,1740928.66,5,5.0,647.762023926,1.0
8722615410525,33.4166667,-13.0,1740928.66,5,5.0,647.762023926,1.0
8722615410526,33.4166667,-13.0,891123.36,5,5.0,647.762023926,1.0
8722615410526,33.4166667,-13.0,891123.36,5,5.0,647.762023926,1.0
8722615410527,33.4166667,-13.0,1267068.02,6,5.0,647.762023926,1.0
8722615410527,33.4166667,-13.0,1267068.02,6,5.0,647.762023926,1.0
8722615410528,33.4166667,-13.0,964506.22,4,5.0,647.762023926,1.0
872261249889,33.416667,-13.0,230070,6,5.0,647.762023926,1.0
872261249898,33.416667,-13.0,322000,6,5.0,647.762023926,1.0
872261309778,33.416667,-13.0,1822943.05,19,5.0,647.762023926,1.0
8722612610583,33.416667,-13.0,198000,5,5.0,647.762023926,1.0
8722612610643,33.416667,-13.0,294722,6,5.0,647.762023926,1.0
8722612610644,33.416667,-13.0,360172,4,5.0,647.762023926,1.0
872261219991,33.425412,-9.927265,19504912.35,11,0.0,647.76171875,1.0
8722612410565,33.425412,-9.927265,7000000,11,0.0,647.76171875,1.0
8722612610806,33.425412,-9.927265,28298214.16,11,0.0,647.76171875,1.0
8722613710386,33.425412,-9.927265,7963166.74,15,0.0,647.76171875,1.0
8722612410565,33.48221,-11.0113,7000000,11,5.0,897.762451172,1.0
8722612310043,33.483333,-13.033333,9792017.55,8,5.0,647.762023926,2.0
8722612610689,33.528512,-9.666667,745520.92,7,0.0,647.76171875,1.0
872261239869,33.583333,-12.6,5316983.36,16,5.0,647.762023926,1.0
8722612610689,33.6,-11.9,745520.92,7,7.0,647.762023926,2.0
872261199934,33.607776,-11.854277,3000000,5,7.0,647.762023926,1.0
872261209978,33.607776,-11.854277,100000,4,7.0,647.762023926,1.0
872261239860,33.607776,-11.854277,12912097.67,17,7.0,647.762023926,1.0
872261239861,33.607776,-11.854277,2170170.29,13,7.0,647.762023926,1.0
872261239877,33.607776,-11.854277,2638695.43,19,7.0,647.762023926,1.0
872261309778,33.607776,-11.854277,1822943.05,19,7.0,647.762023926,1.0
8722611610408,33.607776,-11.854277,5510275,3,7.0,647.762023926,1.0
8722612410565,33.607776,-11.854277,7000000,11,7.0,647.762023926,1.0
8722612610583,33.607776,-11.854277,198000,5,7.0,647.762023926,1.0
8722612610642,33.607776,-11.854277,517000,4,7.0,647.762023926,1.0
8722612610643,33.607776,-11.854277,294722,6,7.0,647.762023926,1.0
8722612610670,33.607776,-11.854277,678936.66,5,7.0,647.762023926,1.0
8722612610806,33.607776,-11.854277,28298214.16,11,7.0,647.762023926,1.0
