project_ID,longitude,latitude,total_c_to_2011,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
8722616310213,32.9,-13.8,22026464.07,39,0.0,987.24395752,2.0
8722613710570,33.079984,-13.762298,7000000,3,5.0,647.762023926,1.0
8722616310213,33.083333,-9.566667,22026464.07,39,0.0,647.76171875,1.0
8722616310213,33.383333,-13.766667,22026464.07,39,5.0,647.762023926,1.0
872261219842,33.4166667,-13.0,5405328.52,6,5.0,647.762023926,1.0
872261259891,33.4166667,-13.0,,12,5.0,647.762023926,1.0
872261259891,33.4166667,-13.0,,12,5.0,647.762023926,1.0
872261259891,33.4166667,-13.0,180000,12,5.0,647.762023926,1.0
8722612510218,33.4166667,-13.0,64464452,13,5.0,647.762023926,1.0
8722612610733,33.4166667,-13.0,11123217.25,6,5.0,647.762023926,1.0
8722616310213,33.416667,-13.0,22026464.07,39,5.0,647.762023926,1.0
872261259809,33.425412,-9.927265,2345000,19,0.0,647.76171875,1.0
872261219797,33.483333,-13.033333,5767932.75,6,5.0,647.762023926,2.0
8722616310213,33.483333,-13.033333,22026464.07,39,5.0,647.762023926,2.0
872261259809,33.607776,-11.854277,2345000,19,7.0,647.762023926,1.0
872261259891,33.607776,-11.854277,,12,7.0,647.762023926,1.0
872261259891,33.607776,-11.854277,,12,7.0,647.762023926,1.0
872261259891,33.607776,-11.854277,180000,12,7.0,647.762023926,1.0
8722616310213,33.607776,-11.854277,22026464.07,39,7.0,647.762023926,1.0
872261219812,33.68407,-14.019624,4936428.44,3,7.0,647.761901855,2.0
872261219842,33.68407,-14.019624,5405328.52,6,7.0,647.761901855,2.0
872261259809,33.68407,-14.019624,2345000,19,7.0,647.761901855,2.0
8722612510218,33.68407,-14.019624,64464452,13,7.0,647.761901855,2.0
8722612610733,33.68407,-14.019624,11123217.25,6,7.0,647.761901855,2.0
8722616310213,33.68407,-14.019624,22026464.07,39,7.0,647.761901855,2.0
8722616310213,33.716667,-13.516667,22026464.07,39,7.0,647.762023926,2.0
872261219797,33.7833333,-13.9833333,5767932.75,6,0.0,647.762023926,2.0
8722611610429,33.7833333,-13.9833333,933999,1,0.0,647.762023926,2.0
8722612410561,33.7833333,-13.9833333,16150594.35,2,0.0,647.762023926,2.0
872261149770,33.78497,-13.9979,32200000,9,0.0,647.762023926,2.0
872261259809,33.805243,-10.802922,2345000,19,0.0,647.762451172,1.0
8722613710570,33.805243,-10.802922,7000000,3,0.0,647.762451172,1.0
8722616310213,33.805243,-10.802922,22026464.07,39,0.0,647.762451172,1.0
872261259904,33.823778,-13.600977,6930449,1,7.0,647.762023926,1.0
8722611610453,33.823778,-13.600977,500000,6,7.0,647.762023926,1.0
8722611610454,33.823778,-13.600977,11559463,6,7.0,647.762023926,1.0
8722616310213,33.823778,-13.600977,22026464.07,39,7.0,647.762023926,1.0
8722616310213,33.866667,-11.016667,22026464.07,39,5.0,647.762023926,2.0
872261219812,33.881507,-10.111532,4936428.44,3,0.0,647.762451172,1.0
872261259809,33.881507,-10.111532,2345000,19,0.0,647.762451172,1.0
8722616310213,33.881507,-10.111532,22026464.07,39,0.0,647.762451172,1.0
872261219842,33.907981,-13.295737,5405328.52,6,7.0,647.762023926,1.0
