project_ID,longitude,latitude,total_c_to_2011,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
872261289839,32.88019,-13.79841,322189.38,31,0.0,987.24395752,2.0
8722612410555,32.9,-13.8, $-   ,33,0.0,987.24395752,2.0
8722612310060,33.0,-13.766667,3525126.32,32,5.0,647.762023926,1.0
872261299890,33.07998,-13.7623,22235530.6,28,5.0,647.762023926,1.0
8722612610659,33.0799839,-13.762298, $-   ,16,5.0,647.762023926,1.0
8722612310060,33.079984,-13.762298,3525126.32,32,5.0,647.762023926,1.0
872261219802,33.266667,-9.716667,9817757.87,16,7.0,647.76171875,2.0
872261259789,33.266667,-9.716667,400000,19,7.0,647.76171875,2.0
872261289839,33.26969,-9.70237,322189.38,31,7.0,647.76171875,2.0
8722612410555,33.26969,-9.70237, $-   ,33,7.0,647.76171875,2.0
872261239867,33.4,-12.716667,13064587.68,13,5.0,647.762023926,1.0
8722612510058,33.4166667,-13.0,16213487,17,5.0,647.762023926,1.0
8722612510084,33.4166667,-13.0,4665000,8,5.0,647.762023926,1.0
8722612310060,33.416667,-13.0,3525126.32,32,5.0,647.762023926,1.0
8722612510058,33.416667,-13.0,16213487,17,5.0,647.762023926,1.0
8722612610455,33.416667,-13.0,25000000,18,5.0,647.762023926,1.0
872261299890,33.41667,-13.0,22235530.6,28,5.0,647.762023926,1.0
872261299890,33.42541,-9.927265,22235530.6,28,0.0,647.76171875,1.0
872261229807,33.425412,-9.927265,2643949.8,1,0.0,647.76171875,1.0
872261259789,33.425412,-9.927265,400000,19,0.0,647.76171875,1.0
872261289839,33.48333,-13.03333,322189.38,31,5.0,647.762023926,2.0
872261219802,33.483333,-13.033333,9817757.87,16,5.0,647.762023926,2.0
8722612410555,33.483333,-13.033333, $-   ,33,5.0,647.762023926,2.0
8722612610664,33.483333,-13.033333, $-   ,4,5.0,647.762023926,2.0
8722612310060,33.516667,-12.566667,3525126.32,32,5.0,647.762023926,1.0
8722612310060,33.51667,-12.85,3525126.32,32,5.0,647.762023926,1.0
872261259789,33.6,-11.9,400000,19,7.0,647.762023926,2.0
872261289839,33.6,-11.9,322189.38,31,7.0,647.762023926,2.0
8722612410555,33.6,-11.9, $-   ,33,7.0,647.762023926,2.0
872261259789,33.607776,-11.854277,400000,19,7.0,647.762023926,1.0
8722612310060,33.607776,-11.854277,3525126.32,32,7.0,647.762023926,1.0
8722612610455,33.607776,-11.854277,25000000,18,7.0,647.762023926,1.0
8722612610612,33.607776,-11.854277,4593815,10,7.0,647.762023926,1.0
8722612610659,33.607776,-11.854277, $-   ,16,7.0,647.762023926,1.0
872261299890,33.60778,-11.85428,22235530.6,28,7.0,647.762023926,1.0
8722612310060,33.633333,-14.166667,3525126.32,32,7.0,647.761901855,1.0
8722612610716,33.68407,-14.01962,8509677,4,7.0,647.761901855,2.0
872261259789,33.68407,-14.019624,400000,19,7.0,647.761901855,2.0
872261299890,33.68407,-14.01962,22235530.6,28,7.0,647.761901855,2.0
8722611410257,33.68407,-14.019624,,3,7.0,647.761901855,2.0
8722612110284,33.68407,-14.019624,748652.06,2,7.0,647.761901855,2.0
8722612310060,33.68407,-14.019624,3525126.32,32,7.0,647.761901855,2.0
8722612510515,33.68407,-14.019624,420000,3,7.0,647.761901855,2.0
8722612610599,33.68407,-14.019624,260000,2,7.0,647.761901855,2.0
8722612610612,33.68407,-14.019624,4593815,10,7.0,647.761901855,2.0
8722612610656,33.68407,-14.019624, $-   ,4,7.0,647.761901855,2.0
