project_ID,longitude,latitude,total_c_to_2012,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
8723851780,84.9283,27.86424,3636000,417,3.0,960.43963623,1.0
8723892402,84.9283,27.86424,2111981.3,6,3.0,960.43963623,1.0
87238107704,84.91667,28.0,4094434.43,75,3.0,960.43963623,1.0
872381335,84.91667,28.0,37111399.88,27,3.0,960.43963623,1.0
87238107704,85.33218,27.70704,4094434.43,75,3.0,960.439331055,2.0
872381998,85.33218,27.70704,29225640.55,47,3.0,960.439331055,2.0
872381335,85.3206,27.70169,37111399.88,27,3.0,960.439331055,2.0
8723851780,85.52138,27.62979,3636000,417,3.0,960.439331055,2.0
8723893289,85.7605,27.5622,2679762.65,128,3.0,960.439331055,1.0
8723851780,85.4833,27.514,3636000,417,2.0,960.439331055,1.0
87238107445,85.66667,27.58333,330699.17,7,3.0,960.439331055,1.0
87238107704,85.66667,27.58333,4094434.43,75,3.0,960.439331055,1.0
87238107873,85.66667,27.58333,3661393.31,12,3.0,960.439331055,1.0
872381998,85.66667,27.58333,29225640.55,47,3.0,960.439331055,1.0
8723851780,85.66667,27.58333,3636000,417,3.0,960.439331055,1.0
87238107704,85.33333,27.58333,4094434.43,75,3.0,960.439331055,2.0
872381998,85.33333,27.58333,29225640.55,47,3.0,960.439331055,2.0
8723851780,85.31417,27.67658,3636000,417,3.0,960.439331055,2.0
87238107704,85.25,27.91667,4094434.43,75,3.0,960.439331055,1.0
872381998,85.25,27.91667,29225640.55,47,3.0,960.439331055,1.0
872381335,85.41667,27.91667,37111399.88,27,3.0,960.439331055,1.0
87238107704,85.33333,28.16667,4094434.43,75,3.0,960.439575195,1.0
8723819498,85.33333,28.16667,20000000,10,3.0,960.439575195,1.0
8723879321,85.33333,28.16667,1528090.05,13,3.0,960.439575195,1.0
8723851780,85.7104,27.7752,3636000,417,3.0,960.439331055,1.0
87238107704,85.54504,27.82936,4094434.43,75,3.0,960.439331055,1.0
8723851780,85.54504,27.82936,3636000,417,3.0,960.439331055,1.0
87238107704,86.01,26.83,4094434.43,75,3.0,960.439758301,1.0
872381335,86.01,26.83,37111399.88,27,3.0,960.439758301,1.0
872381998,86.01,26.83,29225640.55,47,3.0,960.439758301,1.0
872381335,85.90646,26.71828,37111399.88,27,3.0,960.439208984,2.0
872381335,86.04927,27.66322,37111399.88,27,3.0,960.439575195,1.0
87238107704,86.25,27.83333,4094434.43,75,3.0,960.439575195,1.0
872381335,86.25,27.83333,37111399.88,27,3.0,960.439575195,1.0
8723819498,86.25,27.83333,20000000,10,3.0,960.439575195,1.0
8723851780,86.25,27.83333,3636000,417,3.0,960.439575195,1.0
8723879321,86.25,27.83333,1528090.05,13,3.0,960.439575195,1.0
87238107704,85.83333,26.91667,4094434.43,75,3.0,960.439208984,1.0
872381998,85.83333,26.91667,29225640.55,47,3.0,960.439208984,1.0
8723851780,85.80081,26.64711,3636000,417,4.0,960.439208984,2.0
87238107704,86.08333,27.41667,4094434.43,75,3.0,960.439575195,1.0
8723851780,86.08333,27.41667,3636000,417,3.0,960.439575195,1.0
8723868183,86.08333,27.41667,7235142.11,240,3.0,960.439575195,1.0
8723851780,86.21365,27.56549,3636000,417,3.0,960.439575195,1.0
8723868183,86.21365,27.56549,7235142.11,240,3.0,960.439575195,1.0
87238107704,85.58333,27.0,4094434.43,75,3.0,960.439208984,1.0
872381998,85.58333,27.0,29225640.55,47,3.0,960.439208984,1.0
872381335,86.0,27.33333,37111399.88,27,3.0,960.439575195,1.0
87238107704,86.0,27.25,4094434.43,75,0.0,960.439575195,1.0
87238107704,85.08333,27.08333,4094434.43,75,3.0,960.439331055,1.0
87238107873,85.08333,27.08333,3661393.31,12,3.0,960.439331055,1.0
872381998,85.08333,27.08333,29225640.55,47,3.0,960.439331055,1.0
8723881999,85.08333,27.08333,8936912.07,10,3.0,960.439331055,1.0
8723883715,85.08333,27.08333,3993326.19,11,3.0,960.439331055,1.0
872381335,85.00319,27.03301,37111399.88,27,3.0,960.439331055,2.0
872381335,84.43333,27.68333,37111399.88,27,3.0,960.43963623,2.0
87238107704,85.25,27.41667,4094434.43,75,3.0,960.439331055,1.0
872381998,85.25,27.41667,29225640.55,47,3.0,960.439331055,1.0
872381335,85.22301,27.45436,37111399.88,27,3.0,960.439331055,1.0
872381401801,85.22301,27.45436,3228655.85,6,3.0,960.439331055,1.0
87238107704,84.83333,27.33333,4094434.43,75,3.0,960.43963623,1.0
872381401801,84.83333,27.33333,3228655.85,6,3.0,960.43963623,1.0
872381998,84.83333,27.33333,29225640.55,47,3.0,960.43963623,1.0
8723881999,84.83333,27.33333,8936912.07,10,3.0,960.43963623,1.0
872381335,84.91667,27.36667,37111399.88,27,3.0,960.43963623,1.0
872381401801,84.91667,27.36667,3228655.85,6,3.0,960.43963623,1.0
8723851780,85.4362,27.12716,3636000,417,3.0,960.439331055,1.0
87238107704,85.33333,27.0,4094434.43,75,3.0,671.049804688,1.0
872381998,85.33333,27.0,29225640.55,47,3.0,671.049804688,1.0
8723881999,85.33333,27.0,8936912.07,10,3.0,671.049804688,1.0
8723883715,85.33333,27.0,3993326.19,11,3.0,671.049804688,1.0
87238107704,87.08333,27.25,4094434.43,75,3.0,960.439453125,1.0
872381335,87.14802,27.23998,37111399.88,27,3.0,960.439453125,1.0
872383656,87.14802,27.23998,20793791.48,15,3.0,960.439453125,1.0
872381401801,87.14802,27.23998,3228655.85,6,3.0,960.439453125,1.0
87238107704,87.55,27.15,4094434.43,75,3.0,960.439453125,1.0
872383656,87.55,27.15,20793791.48,15,3.0,960.439453125,1.0
87238811000,87.55,27.15,23296955.66,21,3.0,960.439453125,1.0
8723899416,87.55,27.15,217065.08,4,3.0,960.439453125,1.0
872381335,87.31667,27.15,37111399.88,27,3.0,960.439453125,1.0
872381335,87.33333,26.98333,37111399.88,27,3.0,960.43927002,2.0
8723851780,87.33333,26.98333,3636000,417,3.0,960.43927002,2.0
87238811000,87.33333,26.98333,23296955.66,21,3.0,960.43927002,2.0
87238107445,87.33333,27.0,330699.17,7,3.0,960.43927002,2.0
87238107704,87.33333,27.0,4094434.43,75,3.0,960.43927002,2.0
872381335,87.33333,27.0,37111399.88,27,3.0,960.43927002,2.0
872383656,87.33333,27.0,20793791.48,15,3.0,960.43927002,2.0
8723868201,87.33333,27.0,1390701.06,6,3.0,960.43927002,2.0
8723899416,87.33333,27.0,217065.08,4,3.0,960.43927002,2.0
87238107704,87.5,26.66667,4094434.43,75,3.0,960.43927002,1.0
872381998,87.5,26.66667,29225640.55,47,3.0,960.43927002,1.0
872383656,87.5,26.66667,20793791.48,15,3.0,960.43927002,1.0
8723868201,87.5,26.66667,1390701.06,6,3.0,960.43927002,1.0
87238811000,87.5,26.66667,23296955.66,21,3.0,960.43927002,1.0
87238107704,87.33333,27.58333,4094434.43,75,0.0,960.439453125,1.0
8723819498,87.33333,27.58333,20000000,10,0.0,960.439453125,1.0
8723879321,87.33333,27.58333,1528090.05,13,0.0,960.439453125,1.0
87238107704,87.16667,26.66667,4094434.43,75,3.0,960.43927002,1.0
872381998,87.16667,26.66667,29225640.55,47,3.0,960.43927002,1.0
872383656,87.16667,26.66667,20793791.48,15,3.0,960.43927002,1.0
8723867188,87.16667,26.66667,28287644.21,29,3.0,960.43927002,1.0
8723868201,87.16667,26.66667,1390701.06,6,3.0,960.43927002,1.0
8723881999,87.16667,26.66667,8936912.07,10,3.0,960.43927002,1.0
8723893287,88.08921,26.96895,1279204.24,62,4.0,2186.47827148,1.0
87238811000,87.92824,26.90943,23296955.66,21,3.0,960.43927002,2.0
87238107704,87.91667,26.91667,4094434.43,75,3.0,960.43927002,1.0
87238107873,87.91667,26.91667,3661393.31,12,3.0,960.43927002,1.0
872381335,87.91667,26.91667,37111399.88,27,3.0,960.43927002,1.0
872383656,87.91667,26.91667,20793791.48,15,3.0,960.43927002,1.0
8723899416,87.91667,26.91667,217065.08,4,3.0,960.43927002,1.0
87238107704,87.91667,26.58333,4094434.43,75,3.0,960.43927002,1.0
87238107873,87.91667,26.58333,3661393.31,12,3.0,960.43927002,1.0
872381998,87.91667,26.58333,29225640.55,47,3.0,960.43927002,1.0
872383656,87.91667,26.58333,20793791.48,15,3.0,960.43927002,1.0
8723868201,87.91667,26.58333,1390701.06,6,3.0,960.43927002,1.0
