project_ID,longitude,latitude,total_c_to_2012,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
87238117541,84.91667,28.0,4686103.12,76,3.0,960.43963623,1.0
8723883742,84.91667,28.0,723255082.75,3937,3.0,960.43963623,1.0
87238100589,85.33218,27.70704,2886460.26,49,3.0,960.439331055,2.0
87238100590,85.33218,27.70704,900713.22,22,3.0,960.439331055,2.0
87238117541,85.33218,27.70704,4686103.12,76,3.0,960.439331055,2.0
8723883742,85.33218,27.70704,723255082.75,3937,3.0,960.439331055,2.0
8723831570,85.3206,27.70169,4075095.33,2,3.0,960.439331055,2.0
8723831606,85.3206,27.70169,7110762.94,2,3.0,960.439331055,2.0
8723851793,85.5302,27.633,35370598.21,83,3.0,960.439331055,2.0
8723883742,85.5302,27.633,723255082.75,3937,3.0,960.439331055,2.0
8723883742,85.5944,27.6766,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.545,27.5465,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.7206,27.4467,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.5434,27.7249,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.6676,27.3634,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.7546,27.4294,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.7344,27.6369,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.7605,27.5622,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.6762,27.4169,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.5069,27.5452,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.659,27.7028,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.7795,27.6288,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.4557,27.4763,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.52431,27.52227,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.6106,27.5387,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.6455,27.6088,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.5591,27.6702,723255082.75,3937,3.0,960.439331055,1.0
8723884847,85.54281,27.6221,3500000,2,3.0,960.439331055,2.0
8723883742,85.5576,27.6217,723255082.75,3937,3.0,960.439331055,2.0
8723883742,85.4833,27.514,723255082.75,3937,2.0,960.439331055,1.0
87238100589,85.66667,27.58333,2886460.26,49,3.0,960.439331055,1.0
87238117541,85.66667,27.58333,4686103.12,76,3.0,960.439331055,1.0
8723883742,85.66667,27.58333,723255082.75,3937,3.0,960.439331055,1.0
8723884847,85.66667,27.58333,3500000,2,3.0,960.439331055,1.0
87238100589,85.33333,27.58333,2886460.26,49,3.0,960.439331055,2.0
87238100590,85.33333,27.58333,900713.22,22,3.0,960.439331055,2.0
87238117541,85.33333,27.58333,4686103.12,76,3.0,960.439331055,2.0
872381592,85.33333,27.58333,5308358.56,2,3.0,960.439331055,2.0
8723883742,85.33333,27.58333,723255082.75,3937,3.0,960.439331055,2.0
8723879323,85.35,27.66667,693126.38,7,3.0,960.439331055,2.0
872381592,85.31417,27.67658,5308358.56,2,3.0,960.439331055,2.0
87238117541,85.25,27.91667,4686103.12,76,3.0,960.439331055,1.0
8723883742,85.25,27.91667,723255082.75,3937,3.0,960.439331055,1.0
872381113014,85.41667,27.91667,20239.6,1,3.0,960.439331055,1.0
87238111554,85.41667,27.91667,44199.44,1,3.0,960.439331055,1.0
87238111555,85.41667,27.91667,55249.3,1,3.0,960.439331055,1.0
87238111556,85.41667,27.91667,44199.44,1,3.0,960.439331055,1.0
87238111557,85.41667,27.91667,35470.05,1,3.0,960.439331055,1.0
87238111558,85.41667,27.91667,66299.16,1,3.0,960.439331055,1.0
87238111565,85.41667,27.91667,109141.64,1,3.0,960.439331055,1.0
87238111566,85.41667,27.91667,45181,1,3.0,960.439331055,1.0
87238100589,85.33333,28.16667,2886460.26,49,3.0,960.439575195,1.0
87238117541,85.33333,28.16667,4686103.12,76,3.0,960.439575195,1.0
8723879323,85.33333,28.16667,693126.38,7,3.0,960.439575195,1.0
8723883742,85.33333,28.16667,723255082.75,3937,3.0,960.439575195,1.0
87238117541,85.54504,27.82936,4686103.12,76,3.0,960.439331055,1.0
8723851439,85.54504,27.82936,743167.92,3,3.0,960.439331055,1.0
8723883742,85.54504,27.82936,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.94162,27.94193,723255082.75,3937,0.0,960.439331055,1.0
87238100589,86.01,26.83,2886460.26,49,3.0,960.439758301,1.0
87238100590,86.01,26.83,900713.22,22,3.0,960.439758301,1.0
87238100591,86.01,26.83,1485627.29,26,3.0,960.439758301,1.0
87238117541,86.01,26.83,4686103.12,76,3.0,960.439758301,1.0
872381560,86.01,26.83,38912588.78,324,3.0,960.439758301,1.0
8723883742,86.01,26.83,723255082.75,3937,3.0,960.439758301,1.0
8723883796,86.04927,27.66322,28603552.55,52,3.0,960.439575195,1.0
87238117541,86.25,27.83333,4686103.12,76,3.0,960.439575195,1.0
8723851439,86.25,27.83333,743167.92,3,3.0,960.439575195,1.0
8723851506,86.25,27.83333,719320.96,3,3.0,960.439575195,1.0
8723883742,86.25,27.83333,723255082.75,3937,3.0,960.439575195,1.0
8723892529,85.82874,26.79221,610576.35,14,3.0,960.439208984,1.0
87238100589,85.83333,26.91667,2886460.26,49,3.0,960.439208984,1.0
87238100590,85.83333,26.91667,900713.22,22,3.0,960.439208984,1.0
87238100591,85.83333,26.91667,1485627.29,26,3.0,960.439208984,1.0
87238117541,85.83333,26.91667,4686103.12,76,3.0,960.439208984,1.0
872381560,85.83333,26.91667,38912588.78,324,3.0,960.439208984,1.0
8723883742,85.83333,26.91667,723255082.75,3937,3.0,960.439208984,1.0
8723883796,86.08333,27.41667,28603552.55,52,3.0,960.439575195,1.0
87238117541,86.08333,27.41667,4686103.12,76,3.0,960.439575195,1.0
8723851439,86.08333,27.41667,743167.92,3,3.0,960.439575195,1.0
8723851506,86.08333,27.41667,719320.96,3,3.0,960.439575195,1.0
8723883742,86.08333,27.41667,723255082.75,3937,3.0,960.439575195,1.0
87238100589,85.58333,27.0,2886460.26,49,3.0,960.439208984,1.0
87238100590,85.58333,27.0,900713.22,22,3.0,960.439208984,1.0
87238100591,85.58333,27.0,1485627.29,26,3.0,960.439208984,1.0
87238117541,85.58333,27.0,4686103.12,76,3.0,960.439208984,1.0
872381560,85.58333,27.0,38912588.78,324,3.0,960.439208984,1.0
8723883742,85.58333,27.0,723255082.75,3937,3.0,960.439208984,1.0
87238117541,86.0,27.25,4686103.12,76,0.0,960.439575195,1.0
8723883742,86.0,27.25,723255082.75,3937,0.0,960.439575195,1.0
8723883742,85.1007,26.9505,723255082.75,3937,3.0,671.049804688,1.0
8723883742,85.0074,27.2953,723255082.75,3937,3.0,960.439331055,1.0
8723883742,85.1136,26.8825,723255082.75,3937,4.0,671.049804688,1.0
8723883742,85.1489,27.0416,723255082.75,3937,3.0,960.439331055,1.0
