project_ID,longitude,latitude,total_c_to_2012,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
8723851221,84.9283,27.86424,30999692.6,94,3.0,960.43963623,1.0
87238100576,84.91667,28.0,752800,85,3.0,960.43963623,1.0
8723851221,84.91667,28.0,30999692.6,94,3.0,960.43963623,1.0
8723851444,84.91667,28.0,5105132.7,4,3.0,960.43963623,1.0
8723883795,84.91667,28.0,6652219.77,31,3.0,960.43963623,1.0
87238113469,85.33333,27.75,190057.6,2,3.0,960.439331055,2.0
872381133184,85.43333,27.76667,285208.39,51,3.0,960.439331055,2.0
8723868184,85.3591,27.69658,8644148.77,28,3.0,960.439331055,2.0
8723811542,85.31667,27.71667,80958413.58,24,3.0,960.439331055,2.0
87238100578,85.33218,27.70704,846939.14,4,3.0,960.439331055,2.0
8723881993,85.33218,27.70704,1225581.1,8,3.0,960.439331055,2.0
87238100576,85.33218,27.70704,752800,85,3.0,960.439331055,2.0
87238100577,85.33218,27.70704,877498.79,50,3.0,960.439331055,2.0
87238100600,85.33218,27.70704,386000,1,3.0,960.439331055,2.0
87238102495,85.33218,27.70704,43075.21,1,3.0,960.439331055,2.0
87238110548,85.33218,27.70704,22000,1,3.0,960.439331055,2.0
87238110569,85.33218,27.70704,49311.28,1,3.0,960.439331055,2.0
87238110580,85.33218,27.70704,71824.09,1,3.0,960.439331055,2.0
87238110581,85.33218,27.70704,143152.05,1,3.0,960.439331055,2.0
87238110582,85.33218,27.70704,127073.4,1,3.0,960.439331055,2.0
87238110584,85.33218,27.70704,13259.83,1,3.0,960.439331055,2.0
87238110586,85.33218,27.70704,21828.32,1,3.0,960.439331055,2.0
87238110587,85.33218,27.70704,30186.39,1,3.0,960.439331055,2.0
87238113469,85.33218,27.70704,190057.6,2,3.0,960.439331055,2.0
8723811542,85.33218,27.70704,80958413.58,24,3.0,960.439331055,2.0
87238120688,85.33218,27.70704,6177674.43,4,3.0,960.439331055,2.0
87238120689,85.33218,27.70704,1171649.19,10,3.0,960.439331055,2.0
872382130,85.33218,27.70704,14958976.81,1,3.0,960.439331055,2.0
8723851221,85.33218,27.70704,30999692.6,94,3.0,960.439331055,2.0
8723868191,85.33218,27.70704,1092548.07,2,3.0,960.439331055,2.0
8723881994,85.33218,27.70704,24517556.29,30,3.0,960.439331055,2.0
8723892735,85.33218,27.70704,259983262.51,7,3.0,960.439331055,2.0
87238110585,85.3206,27.70169,30939.61,1,3.0,960.439331055,2.0
