project_ID,longitude,latitude,total_c_to_2010_USD2011,count,agriculture__actual_potential_yield_gap__2000,socioeconomics__local_economic_activity__1995,socioeconomics__urban_areas__1995
8729922597,32.5,1.25,27728926.43,1,0.0,893.468688965,1.0
8729924582,33.315,0.511,73261067.89,1,3.0,893.468994141,2.0
8729925127,34.13333,1.36667,4230490.95,38,0.0,893.46862793,1.0
8729925127,32.6,1.902,4230490.95,38,0.0,893.468688965,1.0
8729925127,31.16667,2.96667,4230490.95,38,0.0,893.46862793,1.0
8729925127,32.43001,2.85604,4230490.95,38,0.0,893.46875,1.0
8729925127,34.42,1.3333,4230490.95,38,0.0,893.46862793,1.0
8729925127,33.336,3.406,4230490.95,38,0.0,893.468383789,1.0
8729925127,34.1,3.0,4230490.95,38,0.0,893.46862793,1.0
8729925127,33.95,1.5,4230490.95,38,0.0,893.468688965,1.0
8729925127,32.953,2.274,4230490.95,38,3.0,893.46875,1.0
8729925127,31.743,1.569,4230490.95,38,0.0,893.468811035,1.0
8729925127,34.191,1.016,4230490.95,38,0.0,893.46862793,1.0
8729925127,34.64395,2.6389,4230490.95,38,0.0,893.46862793,1.0
8729925127,31.72,3.65,4230490.95,38,0.0,850.879638672,2.0
8729925127,31.26293,2.46732,4230490.95,38,0.0,893.46862793,1.0
8729925127,33.77977,1.22593,4230490.95,38,0.0,893.468688965,1.0
8729925127,33.59432,1.78481,4230490.95,38,0.0,893.468688965,1.0
8729925127,34.08333,0.75,4230490.95,38,0.0,893.46862793,1.0
8729925127,31.75,3.25,4230490.95,38,0.0,893.468811035,1.0
8729925127,34.00421,0.41762,4230490.95,38,3.0,940.746032715,1.0
8729925127,34.04753,1.92157,4230490.95,38,0.0,893.46862793,1.0
8729925127,33.22576,1.75732,4230490.95,38,0.0,893.468688965,1.0
8729925127,34.59601,1.90718,4230490.95,38,0.0,893.46862793,1.0
8729925127,32.8,2.956,4230490.95,38,0.0,893.46875,1.0
8729925127,34.314,1.157,4230490.95,38,0.0,893.46862793,1.0
8729925127,31.28243,3.52354,4230490.95,38,0.0,893.468811035,1.0
8729925127,33.75,2.75,4230490.95,38,0.0,893.468811035,1.0
8729925127,32.83333,1.63333,4230490.95,38,0.0,893.468688965,1.0
8729925127,33.66667,2.08333,4230490.95,38,0.0,893.468811035,1.0
8729925127,32.0,3.0,4230490.95,38,0.0,893.46875,1.0
8729925127,33.99221,1.05249,4230490.95,38,0.0,893.468688965,1.0
8729925127,31.39353,1.96389,4230490.95,38,0.0,893.468811035,-9999.0
8729925127,33.94498,0.89076,4230490.95,38,0.0,893.468994141,1.0
8729925127,33.06137,1.93607,4230490.95,38,0.0,893.468688965,1.0
8729925127,34.0,3.58333,4230490.95,38,0.0,893.467956543,1.0
8729925127,31.0,3.5,4230490.95,38,0.0,893.468811035,1.0
8729925127,30.92516,3.25091,4230490.95,38,0.0,228.469985962,1.0
8729925127,32.50072,2.38129,4230490.95,38,0.0,893.46875,1.0
8729925127,34.66778,1.27115,4230490.95,38,0.0,660.955322266,1.0
8729925401,31.88644,2.7373,37755303.39,1,0.0,893.46862793,1.0
8729931394,32.5,1.25,1010252.5,1,0.0,893.468688965,1.0
8729932199,32.5,1.25,3430510.09,1,0.0,893.468688965,1.0
87299462145,32.5,1.25,90890869.61,1,0.0,893.468688965,1.0
87299462158,32.72472,2.46417,0,19,3.0,893.46875,1.0
87299462158,33.35833,2.385,0,19,0.0,893.468811035,1.0
87299462158,33.39833,2.21833,0,19,0.0,893.468811035,1.0
87299462158,33.5,2.4,0,19,0.0,893.468811035,1.0
87299462158,32.61667,2.43333,0,19,0.0,893.46875,1.0
87299462158,33.045,2.38278,0,19,3.0,893.468811035,1.0
87299462158,33.33611,2.08167,0,19,0.0,893.468811035,1.0
87299462158,33.17778,2.25278,0,19,0.0,893.468811035,1.0
87299462158,32.80861,2.40444,0,19,3.0,893.46875,1.0
87299462158,33.19944,2.45278,0,19,3.0,893.468811035,1.0
87299462158,32.68861,2.33528,0,19,3.0,893.46875,1.0
87299462158,32.94278,2.41667,0,19,0.0,893.46875,1.0
87299462158,33.342,2.48372,0,19,0.0,893.468811035,1.0
87299462158,32.34903,2.22918,0,19,0.0,893.46875,1.0
87299462158,32.4887,2.20976,0,19,0.0,893.46875,1.0
87299462158,32.47478,2.45934,0,19,0.0,893.46875,1.0
87299462158,32.28766,2.39839,0,19,0.0,893.46875,1.0
87299462158,32.92572,2.58889,0,19,0.0,893.46875,1.0
87299462158,33.22373,2.14501,0,19,0.0,893.468811035,1.0
87299462359,32.5,1.25,0,1,0.0,893.468688965,1.0
87299462365,31.18284,2.52139,0,86,0.0,893.46862793,1.0
87299462365,29.8475,-0.97361,0,86,0.0,893.46875,1.0
87299462365,29.86278,-1.21222,0,86,0.0,893.46875,1.0
87299462365,33.32417,2.74472,0,86,0.0,893.468811035,1.0
87299462365,31.1294,2.30977,0,86,0.0,893.46862793,1.0
87299462365,31.49832,2.46335,0,86,0.0,893.46862793,1.0
87299462365,31.77824,1.77326,0,86,0.0,893.468811035,1.0
87299462365,31.15635,2.31753,0,86,0.0,893.46862793,1.0
87299462365,31.41667,1.46667,0,86,0.0,893.468811035,1.0
87299462365,29.85,-1.1,0,86,0.0,893.46875,1.0
87299462365,29.86667,-1.15,0,86,0.0,893.46875,1.0
87299462365,30.48917,-0.17389,0,86,0.0,893.468444824,1.0
87299462365,31.54878,1.67577,0,86,0.0,893.468811035,1.0
87299462365,29.85,-1.06667,0,86,0.0,893.46875,1.0
87299462365,29.80583,-1.2025,0,86,0.0,893.46875,1.0
87299462365,32.08608,1.69606,0,86,0.0,893.468688965,1.0
87299462365,32.89985,2.2499,0,86,0.0,893.46875,2.0
87299462365,31.23968,2.55246,0,86,0.0,893.46862793,1.0
87299462365,32.11046,1.78877,0,86,0.0,893.468688965,1.0
87299462365,31.58997,1.51979,0,86,3.0,893.468811035,1.0
87299462365,31.31785,1.63715,0,86,0.0,893.468811035,1.0
87299462365,31.87931,1.83596,0,86,0.0,893.468811035,1.0
87299462365,29.78694,-0.9425,0,86,0.0,893.46875,1.0
87299462365,31.56688,1.64583,0,86,3.0,893.468811035,1.0
87299462365,32.05006,1.8665,0,86,0.0,893.468688965,1.0
87299462365,29.7,-0.75,0,86,0.0,893.46875,1.0
